15,20
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,1
1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,1
1,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,1
1,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1
1,3,2,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
